epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.24473,1.337,3.24547,1.24393,0.01576,0.82143,0.19078,0.10749,1.20121,3.09333,1.19755,1.429e-05,1.429e-05,1.429e-05
2,3.89365,1.34462,3.21645,1.22371,0.01583,0.82143,0.24353,0.12498,1.1874,3.08272,1.17373,4.24456e-05,4.24456e-05,4.24456e-05
3,4.45389,1.24288,3.18729,1.19115,0.01714,0.90476,0.29717,0.1745,1.11816,3.06218,1.12714,7.00353e-05,7.00353e-05,7.00353e-05
4,5.08293,1.16899,3.00608,1.15101,0.01891,0.95238,0.3343,0.19903,1.06955,3.02562,1.06537,9.70591e-05,9.70591e-05,9.70591e-05
5,5.66936,1.11842,2.93406,1.07961,0.02042,1,0.40664,0.25044,1.11265,2.95961,1.0576,0.000123517,0.000123517,0.000123517
6,6.2439,1.04988,2.70905,1.02833,0.01971,1,0.46825,0.28655,1.17556,2.84253,1.0854,0.000149409,0.000149409,0.000149409
7,6.79216,1.00775,2.33278,1.02198,0.01927,1,0.47947,0.2617,1.21006,2.72999,1.10287,0.000174735,0.000174735,0.000174735
8,7.32232,0.98852,1.98271,1.02983,0.01923,1,0.55036,0.32579,1.22254,2.61558,1.09913,0.000199496,0.000199496,0.000199496
9,7.90091,1.058,1.77363,1.05187,0.01922,1,0.61768,0.38455,1.18645,2.55791,1.08282,0.00022369,0.00022369,0.00022369
10,8.47676,0.99644,1.72704,1.079,0.0195,1,0.63233,0.4055,1.1703,2.50652,1.06589,0.000247318,0.000247318,0.000247318
11,9.06011,0.95105,1.5215,1.01689,0.44108,0.74293,0.68033,0.45738,1.13352,2.46049,1.04716,0.000270381,0.000270381,0.000270381
12,9.67608,0.96019,1.39907,1.04629,1,0.21173,0.66722,0.44835,1.11687,2.40113,1.03965,0.000292878,0.000292878,0.000292878
13,10.2963,0.93459,1.32519,1.06278,0.91799,0.30159,0.60736,0.40718,1.11609,2.35568,1.04707,0.000314809,0.000314809,0.000314809
14,10.8773,0.94601,1.1641,1.0125,0.80378,0.30159,0.60852,0.40349,1.14097,2.26866,1.06019,0.000336174,0.000336174,0.000336174
15,11.4605,0.89566,1.12504,1.02865,0.80907,0.49262,0.70039,0.48322,1.16026,2.12836,1.07029,0.000356973,0.000356973,0.000356973
16,12.0554,0.8387,1.01945,1.0244,0.87108,0.55159,0.75946,0.51765,1.20481,1.96169,1.0831,0.000377206,0.000377206,0.000377206
17,12.6398,0.90862,0.96715,1.04174,0.79971,0.59811,0.79522,0.54154,1.25325,1.86154,1.1209,0.000396873,0.000396873,0.000396873
18,13.2488,0.89299,0.92509,1.06226,0.95235,0.67457,0.81823,0.56851,1.26738,1.74811,1.14539,0.000415975,0.000415975,0.000415975
19,13.9045,0.9094,0.87205,1.0634,0.94204,0.68394,0.85694,0.59464,1.28824,1.66971,1.18087,0.00043451,0.00043451,0.00043451
20,14.509,0.88172,0.82222,1.01819,0.94273,0.70798,0.8634,0.60102,1.20227,1.62156,1.14954,0.00045248,0.00045248,0.00045248
21,15.0823,0.88651,0.81599,1.01673,0.93842,0.69926,0.85895,0.60468,1.1515,1.62807,1.1344,0.000469884,0.000469884,0.000469884
